dataset,trainer,model,seed,accs,mccs,uai_05,uai_01,uai_cf,uai_ar_05,uai_ar_01
adult,ERM,mlp,72,0.7956081081081081,0.5256560832645634,0.203,0.17,0.166,0.044,0.008
adult,ERM,mlp,73,0.7926904176904177,0.5144348826464805,0.274,0.246,0.239,0.035,0.008
adult,ERM,mlp,74,0.7741093366093366,0.5062155843389567,0.225,0.209,0.201,0.032,0.008
loan,ROSS,mlp,3,0.845,0.6851227142400721,0.34,0.332,0.331,0.182,0.173
loan,ROSS,mlp,40,0.8425,0.685694617628727,0.345,0.34,0.34,0.243,0.237
loan,ROSS,mlp,41,0.86,0.719150430050904,0.412,0.406,0.403,0.294,0.281
adult,LLR,mlp,100,0.754453316953317,0.45623844220830023,0.18,0.151,0.144,0.044,0.012
adult,LLR,mlp,10,0.793458230958231,0.4774585401558682,0.185,0.146,0.137,0.04,0.005
lin,ROSS,lin,17,0.705,0.362538469031629,0.489,0.475,0.472,0.091,0.075
lin,ROSS,lin,18,0.7275,0.4413712386436271,0.462,0.435,0.429,0.124,0.11
lin,CAL,lin,90,0.635,0.23120535783434934,0.839,0.832,0.829,0.37,0.357
lin,CAL,lin,91,0.59,0.1715269492609159,0.926,0.916,0.913,0.257,0.229
lin,CAL,lin,92,0.615,0.21935139576943266,0.927,0.921,0.92,0.281,0.258
compas,AL,mlp,79,0.6834008097165992,0.3609194699864467,0.222,0.182,0.169,0.041,0.009
compas,AL,mlp,7,0.6898785425101215,0.38366402230316105,0.177,0.146,0.134,0.036,0.006
compas,AL,mlp,80,0.6834008097165992,0.3638307303079508,0.2,0.169,0.16,0.052,0.012
imf,CAL,lin,30,0.55,0.15578192479931322,0.397,0.385,0.383,0.16,0.154
imf,CAL,lin,31,0.625,0.2686512837528376,0.376,0.374,0.368,0.115,0.087
imf,CAL,lin,32,0.5725,0.19392971079925828,0.129,0.128,0.128,0.025,0.017
loan,CAPIFY,mlp,18,0.7125,0.4251341154649911,0.208,0.197,0.196,0.1,0.095
loan,CAPIFY,mlp,19,0.6925,0.41239328605472036,0.289,0.281,0.279,0.197,0.187
lin,CAPIFY,lin,59,0.65,0.2906513248279802,0.229,0.204,0.196,0.093,0.084
lin,CAPIFY,lin,5,0.5875,0.1678571180550252,0.222,0.192,0.185,0.093,0.081
lin,CAPIFY,lin,60,0.6175,0.23491190330606468,0.201,0.173,0.162,0.08,0.07
compas,AL,mlp,23,0.68582995951417,0.37057813773384835,0.123,0.093,0.088,0.035,0.002
compas,AL,mlp,24,0.7125506072874493,0.4242704756773062,0.186,0.144,0.134,0.04,0.008
compas,CAL,mlp,44,0.665587044534413,0.32905544649773083,0.193,0.169,0.159,0.036,0.008
compas,CAL,mlp,45,0.682591093117409,0.36222827100120736,0.15,0.116,0.105,0.042,0.01
imf,AL,lin,78,0.6375,0.28855825994084994,0.3,0.289,0.285,0.118,0.099
imf,AL,lin,79,0.6125,0.22646519844199203,0.328,0.308,0.307,0.128,0.113
imf,AL,lin,7,0.62,0.24528240124825992,0.339,0.317,0.313,0.121,0.107
lin,AL,lin,59,0.5975,0.19117370394005526,0.923,0.918,0.914,0.35,0.326
lin,AL,lin,5,0.62,0.23875463916542705,0.921,0.915,0.914,0.312,0.291
lin,AL,lin,60,0.5825,0.17784786529672852,0.892,0.886,0.884,0.213,0.189
compas,AL,mlp,36,0.6696356275303643,0.3293009929111859,0.157,0.128,0.117,0.047,0.012
compas,AL,mlp,37,0.6963562753036437,0.39042694745459205,0.161,0.125,0.122,0.042,0.003
compas,AL,mlp,38,0.6550607287449393,0.30433451077305285,0.156,0.125,0.118,0.035,0.008
adult,LLR,mlp,15,0.7622850122850123,0.46606914776520186,0.261,0.23,0.222,0.04,0.008
adult,LLR,mlp,16,0.754914004914005,0.468436799299655,0.244,0.201,0.192,0.054,0.011
adult,LLR,mlp,17,0.7667383292383292,0.47312192640645945,0.175,0.153,0.145,0.029,0.01
imf,LLR,lin,69,0.695,0.4008524263565281,0.209,0.185,0.178,0.074,0.06
imf,LLR,lin,6,0.69,0.3844491665795565,0.243,0.224,0.217,0.082,0.067
imf,LLR,lin,72,0.665,0.335493587171864,0.226,0.209,0.207,0.084,0.065
imf,LLR,lin,89,0.715,0.43740227515356433,0.288,0.278,0.274,0.099,0.089
loan,CAPIFY,mlp,41,0.71,0.4171401310518216,0.161,0.151,0.15,0.085,0.08
