dataset,trainer,model,seed,accs,mccs,uai_05,uai_01,uai_cf,uai_ar_05,uai_ar_01
adult,AL,mlp,0,0.7948402948402948,0.5241404132027764,0.201,0.174,0.173,0.029,0.007
adult,AL,mlp,100,0.7877764127764127,0.5200303874569007,0.191,0.161,0.158,0.033,0.009
adult,AL,mlp,10,0.8137285012285013,0.5613740524197168,0.211,0.185,0.178,0.034,0.005
compas,CAPIFY,mlp,100,0.6089068825910932,0.22168652143052023,0.05,0.019,0.014,0.037,0.003
compas,CAPIFY,mlp,10,0.6340080971659919,0.238794747028403,0.042,0.016,0.008,0.037,0.01
lin,CAPIFY,lin,100,0.6275,0.2035021529782513,0.18,0.15,0.143,0.117,0.103
lin,CAPIFY,lin,10,0.6525,0.29418622127048044,0.172,0.137,0.131,0.077,0.065
adult,CAPIFY,mlp,100,0.7870085995085995,0.4854180606668156,0.07,0.033,0.021,0.041,0.01
adult,CAPIFY,mlp,10,0.792997542997543,0.5067539083240975,0.065,0.028,0.018,0.047,0.013
adult,CAPIFY,mlp,11,0.7701167076167076,0.4730665845872388,0.059,0.028,0.02,0.04,0.009
loan,CAPIFY,mlp,100,0.7125,0.44216873752362207,0.202,0.199,0.198,0.112,0.111
loan,CAPIFY,mlp,10,0.7,0.4008605719067802,0.233,0.222,0.219,0.137,0.127
loan,CAPIFY,mlp,11,0.675,0.34986272135530605,0.25,0.245,0.243,0.139,0.136
imf,CAPIFY,lin,100,0.7225,0.44519461168233243,0.031,0.008,0.002,0.029,0.007
imf,CAPIFY,lin,10,0.715,0.42422556197471795,0.039,0.009,0.001,0.038,0.009
imf,CAPIFY,lin,11,0.74,0.479420416761591,0.035,0.003,0.002,0.032,0.006
adult,AL,mlp,28,0.7874692874692875,0.5204889869107928,0.224,0.194,0.186,0.041,0.009
adult,AL,mlp,2,0.7946867321867321,0.5261457126179621,0.218,0.187,0.18,0.044,0.01
adult,AL,mlp,37,0.8025184275184275,0.5433923764112801,0.24,0.212,0.205,0.038,0.011
nlm,CAL,mlp,100,0.355,0.151635638741445,0.543,0.524,0.521,0.23,0.201
nlm,CAL,mlp,10,0.2975,0.16091998137671223,0.373,0.359,0.356,0.235,0.228
compas,AL,mlp,100,0.671255060728745,0.339077732609945,0.215,0.18,0.171,0.039,0.011
compas,AL,mlp,10,0.6607287449392713,0.32574204665660283,0.186,0.154,0.148,0.042,0.008
compas,AL,mlp,11,0.6842105263157895,0.3672880941645196,0.165,0.132,0.124,0.046,0.011
imf,AL,lin,100,0.655,0.3111111672232945,0.305,0.29,0.286,0.116,0.096
imf,AL,lin,10,0.57,0.12450654315014238,0.323,0.316,0.311,0.115,0.096
imf,AL,lin,11,0.6375,0.2750975215303179,0.326,0.314,0.312,0.123,0.114
loan,AL,mlp,100,0.8225,0.6477086851162643,0.282,0.274,0.273,0.16,0.152
loan,AL,mlp,10,0.8325,0.664906418770291,0.297,0.289,0.289,0.164,0.155
loan,AL,mlp,11,0.8,0.6094820305151935,0.263,0.256,0.256,0.149,0.146
loan,AL,mlp,12,0.785,0.5697699224943089,0.262,0.259,0.259,0.147,0.143
loan,ROSS,mlp,100,0.835,0.6698699906879945,0.409,0.402,0.399,0.311,0.305
loan,ROSS,mlp,10,0.845,0.690000882194601,0.411,0.4,0.399,0.276,0.264
lin,AL,lin,100,0.64,0.2864935010885399,0.91,0.903,0.903,0.329,0.309
lin,AL,lin,10,0.575,0.14576451867510115,0.898,0.891,0.89,0.344,0.329
lin,AL,lin,11,0.58,0.1882261315823559,0.891,0.884,0.883,0.183,0.16
nlm,LLR,mlp,100,0.3925,0.2436035738574959,0.316,0.308,0.304,0.1,0.093
nlm,LLR,mlp,10,0.685,0.22092301552032864,0.314,0.313,0.313,0.313,0.313
adult,ROSS,mlp,100,0.687039312039312,0.419340169253371,0.259,0.142,0.104,0.123,0.044
adult,ROSS,mlp,10,0.6973280098280098,0.4380807230611202,0.185,0.1,0.067,0.102,0.026
compas,ROSS,mlp,100,0.6275303643724697,0.24869030699693614,0.266,0.211,0.197,0.065,0.013
compas,ROSS,mlp,10,0.6153846153846154,0.28715879118324655,0.151,0.116,0.108,0.048,0.013
lin,LLR,lin,100,0.6475,0.25225499029250786,0.338,0.338,0.338,0.332,0.332
lin,LLR,lin,10,0.575,0.1627358702064803,0.467,0.467,0.467,0.187,0.137
lin,LLR,lin,11,0.68,0.32422787303690465,0.319,0.318,0.318,0.307,0.307
imf,LLR,lin,100,0.7275,0.4557335663381661,0.097,0.08,0.077,0.047,0.033
imf,LLR,lin,10,0.6425,0.27309646269225735,0.409,0.395,0.393,0.131,0.117
loan,ERM,mlp,100,0.8775,0.755536107926918,0.393,0.388,0.386,0.281,0.274
loan,ERM,mlp,10,0.8575,0.7148809016027386,0.337,0.331,0.327,0.157,0.151
lin,ROSS,lin,100,0.7,0.36444433519467473,0.447,0.429,0.426,0.062,0.058
lin,ROSS,lin,10,0.6925,0.3829664443855556,0.51,0.492,0.488,0.135,0.127
lin,ROSS,lin,11,0.7175,0.40457982767492756,0.445,0.425,0.417,0.064,0.055
compas,ERM,mlp,92,0.6979757085020243,0.38414185520736255,0.206,0.174,0.169,0.041,0.007
compas,ERM,mlp,93,0.6663967611336032,0.331913819262118,0.248,0.211,0.204,0.051,0.008
compas,ERM,mlp,94,0.6842105263157895,0.36091592762883684,0.198,0.174,0.16,0.046,0.016
adult,CAL,mlp,100,0.7853194103194103,0.5108654424164892,0.252,0.215,0.208,0.046,0.011
adult,CAL,mlp,10,0.8066646191646192,0.5448976693165167,0.21,0.168,0.164,0.056,0.008
adult,ERM,mlp,37,0.7848587223587223,0.5335112635033172,0.214,0.177,0.17,0.047,0.008
adult,ERM,mlp,38,0.7982186732186732,0.5276078505108006,0.226,0.194,0.186,0.039,0.007
nlm,CAPIFY,mlp,100,0.4425,0.2733218168698229,0.469,0.447,0.441,0.323,0.315
nlm,CAPIFY,mlp,10,0.6725,0.212235063125309,0.446,0.432,0.431,0.275,0.268
nlm,ROSS,mlp,100,0.735,0.44352127475164443,0.555,0.528,0.525,0.399,0.369
nlm,ROSS,mlp,10,0.695,0.45590180584752416,0.576,0.554,0.542,0.396,0.369
imf,ERM,lin,100,0.7275,0.4551967373098843,0.044,0.014,0.009,0.031,0.009
imf,ERM,lin,10,0.6925,0.4172043914116402,0.062,0.051,0.048,0.031,0.015
imf,ERM,lin,11,0.75,0.4983442338055789,0.066,0.057,0.053,0.035,0.021
lin,AL,lin,27,0.5825,0.15895333900885406,0.928,0.926,0.926,0.237,0.203
lin,AL,lin,35,0.5825,0.15911961484561243,0.889,0.881,0.881,0.352,0.333
lin,AL,lin,53,0.585,0.16350382386265755,0.903,0.897,0.895,0.191,0.167
nlm,AL,mlp,100,0.5775,0.359694691422356,0.558,0.541,0.539,0.383,0.366
nlm,AL,mlp,10,0.51,0.27395499245307975,0.557,0.545,0.54,0.364,0.343
nlm,AL,mlp,11,0.545,0.31080674437381695,0.537,0.52,0.517,0.358,0.342
lin,ERM,lin,100,0.715,0.4088016833567124,0.436,0.42,0.417,0.17,0.158
lin,ERM,lin,10,0.6825,0.3411693357316115,0.468,0.459,0.454,0.195,0.184
imf,ROSS,lin,100,0.71,0.42792618365781826,0.041,0.018,0.014,0.034,0.009
imf,ROSS,lin,10,0.71,0.4449888026840613,0.053,0.037,0.033,0.033,0.014
lin,CAL,lin,100,0.64,0.2864935010885399,0.926,0.914,0.91,0.354,0.337
lin,CAL,lin,10,0.5725,0.1342492541450293,0.858,0.851,0.849,0.374,0.349
lin,CAL,lin,11,0.575,0.18002630830636798,0.888,0.881,0.877,0.158,0.14
compas,ERM,mlp,100,0.674493927125506,0.3505550554318173,0.212,0.181,0.176,0.04,0.008
compas,ERM,mlp,10,0.674493927125506,0.33751663235783136,0.194,0.155,0.146,0.045,0.011
loan,CAL,mlp,100,0.6925,0.41405574717707827,0.253,0.25,0.247,0.192,0.189
loan,CAL,mlp,10,0.7125,0.42942786802986915,0.245,0.238,0.236,0.147,0.146
loan,LLR,mlp,100,0.705,0.41381936047553736,0.291,0.282,0.282,0.067,0.054
loan,LLR,mlp,10,0.71,0.4196728004435937,0.223,0.216,0.211,0.115,0.108
loan,LLR,mlp,11,0.69,0.35647705857844825,0.237,0.232,0.231,0.082,0.076
compas,CAL,mlp,21,0.6955465587044535,0.3881176519341722,0.11,0.078,0.071,0.044,0.006
compas,CAL,mlp,22,0.6890688259109312,0.3714949332207436,0.212,0.176,0.167,0.052,0.009
nlm,ERM,mlp,100,0.7175,0.3836323416396056,0.57,0.549,0.544,0.405,0.373
nlm,ERM,mlp,10,0.7125,0.4609764418820937,0.562,0.533,0.528,0.38,0.354
nlm,ERM,mlp,11,0.665,0.40878893739870836,0.612,0.599,0.593,0.422,0.379
adult,ERM,mlp,0,0.7943796068796068,0.5243310673897,0.215,0.194,0.19,0.027,0.003
adult,ERM,mlp,100,0.7873157248157249,0.5167524777167796,0.195,0.171,0.167,0.028,0.004
imf,CAL,lin,100,0.5425,0.11329693149385435,0.295,0.283,0.282,0.157,0.153
imf,CAL,lin,10,0.5275,0.016245399610123355,0.394,0.385,0.378,0.108,0.093
imf,CAL,lin,11,0.6125,0.24501440445426353,0.494,0.481,0.477,0.205,0.194
compas,LLR,mlp,3,0.6461538461538462,0.28009681523705304,0.274,0.251,0.247,0.034,0.007
compas,LLR,mlp,40,0.6161943319838057,0.21995708517547966,0.328,0.318,0.314,0.038,0.008
adult,LLR,mlp,11,0.753531941031941,0.4542622932788449,0.223,0.192,0.18,0.041,0.01
adult,LLR,mlp,12,0.726504914004914,0.471652215725867,0.258,0.227,0.219,0.045,0.011
lin,LLR,lin,60,0.6475,0.2101627237953287,0.237,0.237,0.237,0.237,0.237
compas,ROSS,mlp,63,0.665587044534413,0.33718455251054624,0.141,0.102,0.095,0.04,0.008
compas,ROSS,mlp,64,0.6364372469635627,0.30400677879789806,0.263,0.207,0.198,0.067,0.014
adult,ROSS,mlp,74,0.6710687960687961,0.40361296472595803,0.207,0.124,0.097,0.099,0.03
adult,ROSS,mlp,75,0.6713759213759214,0.3890619266697588,0.152,0.069,0.041,0.085,0.024
adult,ROSS,mlp,76,0.672911547911548,0.40938399660769426,0.222,0.119,0.095,0.115,0.026
nlm,CAL,mlp,4,0.3325,0.18386389702565875,0.525,0.503,0.501,0.217,0.194
nlm,CAL,mlp,50,0.355,0.19758469880101387,0.604,0.586,0.579,0.273,0.251
loan,CAPIFY,mlp,56,0.735,0.48605821147939754,0.22,0.217,0.215,0.144,0.141
loan,CAPIFY,mlp,57,0.7175,0.43640223303287823,0.228,0.221,0.219,0.125,0.121
loan,ROSS,mlp,47,0.85,0.7071841717092427,0.358,0.351,0.349,0.256,0.249
loan,ROSS,mlp,48,0.8225,0.6466807577190509,0.375,0.367,0.365,0.244,0.236
adult,CAL,mlp,53,0.793918918918919,0.5168729326842396,0.223,0.185,0.168,0.059,0.016
adult,CAL,mlp,54,0.7994471744471745,0.5275441539858108,0.259,0.208,0.194,0.06,0.012
adult,CAL,mlp,55,0.7843980343980343,0.49947363402377226,0.233,0.196,0.184,0.055,0.011
adult,CAL,mlp,56,0.7876228501228502,0.5050800254120104,0.255,0.213,0.207,0.049,0.005
nlm,AL,mlp,38,0.5675,0.33080779587543674,0.599,0.579,0.574,0.412,0.388
nlm,AL,mlp,39,0.565,0.31368234041253945,0.554,0.536,0.534,0.383,0.37
nlm,AL,mlp,3,0.64,0.36017123454900074,0.511,0.487,0.479,0.325,0.305
nlm,AL,mlp,40,0.6525,0.39037513778412986,0.484,0.469,0.462,0.295,0.285
nlm,LLR,mlp,57,0.4175,0.21142507569968882,0.421,0.402,0.396,0.166,0.157
nlm,LLR,mlp,58,0.7,0.22549940010378433,0.338,0.338,0.338,0.336,0.336
lin,SENSEI,lin,0,0.6225000023841858,0.11293047382224525,0.113,0.108,0.104,0.031,0.026
loan,AL,mlp,0,0.7525,0.5115439317436633,0.25,0.245,0.245,0.15,0.144
loan,LLR,mlp,14,0.6975,0.3929642646395624,0.296,0.289,0.289,0.065,0.055
loan,LLR,mlp,44,0.7075,0.4194327095611307,0.273,0.27,0.269,0.133,0.129
lin,CAL,lin,65,0.625,0.25431387145069495,0.924,0.922,0.918,0.252,0.225
lin,CAL,lin,66,0.545,0.1077446193336793,0.93,0.921,0.919,0.313,0.29
compas,CAPIFY,mlp,75,0.6437246963562753,0.28456716366501517,0.07,0.034,0.03,0.047,0.01
compas,CAPIFY,mlp,76,0.6323886639676113,0.24748132283423344,0.086,0.049,0.042,0.041,0.012
imf,CAPIFY,lin,58,0.6775,0.3636457871908828,0.043,0.012,0.001,0.041,0.013
imf,CAPIFY,lin,59,0.725,0.450566499777567,0.051,0.012,0.004,0.041,0.007
compas,CAPIFY,mlp,91,0.6105263157894737,0.2256341138430217,0.058,0.024,0.016,0.044,0.012
compas,CAPIFY,mlp,99,0.620242914979757,0.23418833056829255,0.057,0.018,0.011,0.043,0.006
loan,LLR,mlp,45,0.6825,0.37349293809520334,0.3,0.291,0.291,0.153,0.147
loan,LLR,mlp,46,0.6675,0.3583166815832598,0.277,0.273,0.27,0.123,0.119
lin,LLR,lin,88,0.6175,0.27495240365378565,0.379,0.379,0.379,0.168,0.129
lin,LLR,lin,89,0.6525,0.2546156904811131,0.383,0.382,0.382,0.375,0.375
lin,LLR,lin,8,0.6225,0.18319209574286813,0.185,0.184,0.184,0.18,0.18
compas,AL,mlp,8,0.6882591093117408,0.37167677862469656,0.17,0.135,0.125,0.051,0.011
compas,AL,mlp,90,0.6704453441295547,0.3336485213746241,0.188,0.151,0.144,0.03,0.004
imf,ROSS,lin,56,0.715,0.44132108152199667,0.038,0.01,0.004,0.033,0.008
imf,ROSS,lin,57,0.7125,0.4251341154649911,0.055,0.022,0.014,0.037,0.01
imf,LLR,lin,52,0.645,0.30424105233184345,0.391,0.383,0.379,0.103,0.092
imf,LLR,lin,53,0.6975,0.40540549035147083,0.248,0.227,0.224,0.092,0.077
loan,AL,mlp,41,0.785,0.5682384816401903,0.263,0.256,0.255,0.157,0.149
loan,AL,mlp,42,0.86,0.7238834072773289,0.286,0.28,0.278,0.182,0.176
loan,AL,mlp,43,0.8025,0.600556355910726,0.279,0.273,0.271,0.171,0.164
lin,CAPIFY,lin,68,0.6325,0.2672772792155473,0.208,0.184,0.172,0.063,0.049
lin,CAPIFY,lin,69,0.655,0.2850570337256316,0.206,0.179,0.169,0.12,0.111
lin,CAPIFY,lin,6,0.68,0.331174291449962,0.177,0.15,0.138,0.116,0.115
adult,AL,mlp,38,0.7996007371007371,0.5389860257859616,0.234,0.206,0.197,0.039,0.012
adult,AL,mlp,39,0.8020577395577395,0.5338709129140972,0.218,0.194,0.187,0.044,0.009
lin,AL,lin,61,0.6225,0.2620543695955973,0.871,0.86,0.86,0.163,0.148
lin,AL,lin,62,0.5725,0.1248233557312299,0.863,0.856,0.854,0.346,0.324
lin,AL,lin,63,0.6025,0.20658991212781658,0.94,0.938,0.935,0.283,0.263
lin,AL,lin,64,0.6175,0.23737395394499014,0.919,0.916,0.916,0.327,0.3
compas,ROSS,mlp,28,0.5789473684210527,0.2175056969021894,0.231,0.196,0.189,0.059,0.01
compas,ROSS,mlp,29,0.6137651821862348,0.26894732455103243,0.207,0.168,0.16,0.037,0.009
compas,ROSS,mlp,2,0.6323886639676113,0.2885221053985562,0.193,0.149,0.14,0.046,0.002
loan,CAL,mlp,45,0.72,0.46114860531877133,0.204,0.194,0.191,0.117,0.113
loan,CAL,mlp,46,0.64,0.30522458951866127,0.329,0.324,0.32,0.242,0.233
loan,CAL,mlp,47,0.6625,0.3640647636102057,0.275,0.265,0.265,0.208,0.2
lin,ERM,lin,63,0.6725,0.3144455444410459,0.425,0.415,0.409,0.174,0.163
lin,ERM,lin,64,0.7025,0.40522057362122665,0.5,0.48,0.474,0.182,0.163
lin,ERM,lin,65,0.6775,0.35993340313022554,0.526,0.512,0.51,0.208,0.196
lin,ERM,lin,66,0.665,0.26844826869673305,0.439,0.425,0.418,0.17,0.151
nlm,ROSS,mlp,72,0.7625,0.4946850973677578,0.531,0.5,0.493,0.442,0.422
nlm,ROSS,mlp,73,0.7175,0.41581173520182957,0.535,0.518,0.513,0.42,0.391
imf,ERM,lin,61,0.765,0.521587142802687,0.095,0.066,0.061,0.048,0.023
imf,ERM,lin,62,0.7425,0.48574894941202995,0.048,0.018,0.015,0.034,0.01
imf,ERM,lin,63,0.7275,0.4550605090563049,0.073,0.04,0.038,0.039,0.021
loan,ERM,mlp,64,0.865,0.7301467916839556,0.346,0.341,0.341,0.218,0.21
loan,ERM,mlp,65,0.855,0.7100299353787694,0.365,0.358,0.357,0.255,0.247
loan,ERM,mlp,66,0.8475,0.6965286458033478,0.4,0.394,0.393,0.269,0.259
adult,CAPIFY,mlp,5,0.7813267813267813,0.4971951167375611,0.071,0.028,0.015,0.048,0.007
adult,CAPIFY,mlp,60,0.773955773955774,0.46868163850114225,0.118,0.073,0.06,0.063,0.014
adult,ROSS,mlp,33,0.6156326781326781,0.3542025514816832,0.114,0.033,0.016,0.061,0.011
adult,ROSS,mlp,34,0.6389742014742015,0.396242145322153,0.169,0.07,0.045,0.081,0.011
adult,ROSS,mlp,35,0.6652334152334153,0.39025493380071785,0.21,0.113,0.092,0.099,0.021
imf,CAL,lin,49,0.595,0.19936329046417525,0.401,0.39,0.39,0.184,0.172
imf,CAL,lin,4,0.6225,0.25075171092797577,0.445,0.437,0.432,0.14,0.119
nlm,CAPIFY,mlp,62,0.425,0.2373720509002246,0.296,0.283,0.277,0.167,0.159
nlm,CAPIFY,mlp,63,0.44,0.28144697146595643,0.408,0.387,0.377,0.264,0.256
nlm,ERM,mlp,58,0.715,0.47932286770477267,0.607,0.589,0.582,0.453,0.415
nlm,ERM,mlp,59,0.74,0.44084853761314063,0.574,0.551,0.541,0.376,0.342
compas,LLR,mlp,62,0.5846153846153846,0.1593716816837788,0.452,0.441,0.435,0.045,0.012
compas,LLR,mlp,63,0.6016194331983805,0.1969391913531227,0.424,0.404,0.395,0.05,0.008
compas,CAL,mlp,75,0.6793522267206478,0.35990172234661366,0.154,0.123,0.118,0.039,0.006
compas,CAL,mlp,76,0.6672064777327935,0.3203792365556558,0.179,0.133,0.128,0.054,0.007
adult,LLR,mlp,64,0.7957616707616708,0.5063995987954127,0.27,0.245,0.239,0.05,0.014
adult,LLR,mlp,65,0.7896191646191646,0.46999383670356215,0.197,0.173,0.166,0.041,0.01
adult,LLR,mlp,66,0.7364864864864865,0.472246342158475,0.278,0.249,0.244,0.042,0.01
nlm,CAL,mlp,73,0.3575,0.17719331490154708,0.483,0.466,0.464,0.256,0.236
nlm,CAL,mlp,74,0.3525,0.18924236358783025,0.526,0.51,0.508,0.223,0.195
imf,AL,lin,55,0.645,0.29519126197080925,0.296,0.28,0.279,0.117,0.102
imf,AL,lin,56,0.675,0.35052397970483495,0.326,0.311,0.307,0.123,0.095
imf,AL,lin,57,0.63,0.2885654358157553,0.292,0.284,0.28,0.116,0.097
adult,CAL,mlp,31,0.7943796068796068,0.5044225694925993,0.231,0.188,0.181,0.05,0.011
adult,CAL,mlp,32,0.7842444717444718,0.505403160830736,0.248,0.211,0.204,0.047,0.009
compas,ERM,mlp,34,0.671255060728745,0.3344311496812817,0.155,0.119,0.115,0.035,0.005
compas,ERM,mlp,35,0.6987854251012146,0.3942211596470659,0.199,0.168,0.162,0.043,0.005
lin,ROSS,lin,68,0.6925,0.3901691975682019,0.481,0.464,0.453,0.119,0.103
lin,ROSS,lin,69,0.7025,0.440322703498212,0.476,0.449,0.447,0.161,0.149
lin,ROSS,lin,6,0.6775,0.3386711814791062,0.534,0.514,0.511,0.146,0.134
adult,ERM,mlp,7,0.7951474201474201,0.5372226016857401,0.237,0.2,0.191,0.049,0.014
adult,ERM,mlp,80,0.7971437346437347,0.5286160537794262,0.184,0.157,0.15,0.037,0.007
adult,ERM,mlp,81,0.7946867321867321,0.5342659934587132,0.188,0.161,0.155,0.034,0.007
adult,ERM,mlp,82,0.7988329238329238,0.5251858787848573,0.173,0.142,0.139,0.036,0.007
lin,LLR,lin,35,0.5475,0.19681551599321737,0.391,0.389,0.389,0.15,0.124
lin,LLR,lin,36,0.6275,0.23771936552937478,0.347,0.347,0.347,0.341,0.341
adult,CAPIFY,mlp,25,0.730036855036855,0.47532778553744126,0.133,0.093,0.082,0.059,0.013
adult,CAPIFY,mlp,26,0.7722665847665847,0.48671968207660543,0.073,0.037,0.029,0.047,0.01
adult,CAPIFY,mlp,27,0.7773341523341524,0.4863553928426712,0.056,0.022,0.019,0.036,0.007
adult,AL,mlp,75,0.8048218673218673,0.5292037534283485,0.232,0.201,0.193,0.041,0.007
adult,AL,mlp,76,0.7914619164619164,0.5236271765072831,0.201,0.176,0.167,0.033,0.006
adult,AL,mlp,77,0.8063574938574939,0.5394258374348613,0.227,0.192,0.189,0.04,0.007
lin,CAL,lin,28,0.5625,0.1360164485183742,0.922,0.917,0.915,0.314,0.281
lin,CAL,lin,29,0.6475,0.2923587542558776,0.926,0.915,0.915,0.308,0.285
lin,CAL,lin,2,0.56,0.15741711042088158,0.922,0.919,0.918,0.266,0.248
compas,CAPIFY,mlp,39,0.6647773279352227,0.31808409641047175,0.04,0.019,0.012,0.03,0.007
loan,AL,mlp,73,0.79,0.5824635766047945,0.312,0.306,0.305,0.203,0.197
loan,AL,mlp,74,0.805,0.6090939957655819,0.273,0.267,0.265,0.137,0.132
lin,ROSS,lin,25,0.715,0.3853355562771331,0.506,0.479,0.473,0.116,0.1
lin,ROSS,lin,2,0.6675,0.36354529945766456,0.474,0.452,0.447,0.119,0.104
compas,AL,mlp,43,0.6947368421052632,0.38048893072908013,0.178,0.148,0.142,0.039,0.007
compas,AL,mlp,44,0.6631578947368421,0.3335243497626113,0.204,0.166,0.155,0.039,0.01
loan,CAPIFY,mlp,25,0.7025,0.4075090686019118,0.214,0.207,0.201,0.153,0.15
loan,CAPIFY,mlp,26,0.6775,0.3517932066588996,0.315,0.308,0.304,0.22,0.215
nlm,AL,mlp,70,0.5525,0.28970515415970843,0.591,0.574,0.566,0.405,0.385
nlm,AL,mlp,71,0.5975,0.38211575120587155,0.551,0.534,0.531,0.361,0.339
nlm,AL,mlp,72,0.58,0.3690346746506843,0.589,0.572,0.567,0.435,0.406
loan,ROSS,mlp,71,0.8125,0.6248202243209324,0.385,0.374,0.372,0.278,0.272
loan,ROSS,mlp,72,0.87,0.740073515155022,0.398,0.391,0.388,0.293,0.285
nlm,LLR,mlp,80,0.4,0.23608134825910582,0.413,0.4,0.396,0.145,0.128
nlm,LLR,mlp,81,0.4425,0.23980639491621308,0.458,0.446,0.445,0.107,0.085
imf,ROSS,lin,24,0.73,0.46185597341436646,0.057,0.031,0.028,0.035,0.015
imf,ROSS,lin,25,0.7,0.4064003090769453,0.045,0.013,0.01,0.031,0.009
imf,ROSS,lin,26,0.72,0.44018205716184283,0.062,0.04,0.038,0.036,0.018
nlm,ROSS,mlp,24,0.705,0.4342820482838969,0.477,0.461,0.454,0.395,0.39
nlm,ROSS,mlp,25,0.745,0.4513738072494081,0.534,0.507,0.499,0.386,0.359
nlm,CAPIFY,mlp,37,0.3825,0.23608940316093005,0.425,0.409,0.406,0.278,0.264
nlm,CAPIFY,mlp,38,0.405,0.25391849529780564,0.398,0.383,0.379,0.255,0.243
nlm,CAPIFY,mlp,39,0.735,0.21040385262728636,0.35,0.341,0.337,0.236,0.236
imf,ROSS,lin,7,0.7475,0.5009608158221638,0.04,0.014,0.012,0.029,0.01
imf,ROSS,lin,80,0.705,0.4012094787240725,0.06,0.033,0.028,0.035,0.015
imf,ROSS,lin,81,0.7175,0.43513600125390917,0.035,0.02,0.014,0.024,0.012
imf,ERM,lin,7,0.7475,0.5009608158221638,0.042,0.01,0.009,0.032,0.007
imf,ERM,lin,80,0.7075,0.4060634359282258,0.062,0.032,0.027,0.036,0.012
imf,ERM,lin,81,0.7225,0.445272813172705,0.047,0.027,0.025,0.022,0.011
nlm,LLR,mlp,25,0.385,0.23648453336145203,0.36,0.35,0.343,0.095,0.08
nlm,LLR,mlp,26,0.36,0.2170573434884529,0.452,0.432,0.428,0.352,0.347
nlm,LLR,mlp,27,0.4575,0.26764911506316674,0.5,0.49,0.485,0.158,0.14
loan,LLR,mlp,72,0.6775,0.35213453050720583,0.258,0.251,0.248,0.092,0.088
loan,LLR,mlp,73,0.6575,0.3155591078644967,0.321,0.312,0.311,0.089,0.074
compas,CAL,mlp,46,0.6639676113360324,0.3211358551852685,0.147,0.123,0.117,0.037,0.011
compas,CAL,mlp,47,0.682591093117409,0.3505646219479231,0.122,0.083,0.078,0.045,0.008
adult,LLR,mlp,25,0.726965601965602,0.4626709167895639,0.284,0.247,0.239,0.038,0.005
adult,LLR,mlp,94,0.7951474201474201,0.46472217318706777,0.183,0.153,0.145,0.044,0.008
imf,CAL,lin,75,0.615,0.22685634622378867,0.494,0.479,0.474,0.187,0.166
imf,CAL,lin,76,0.59,0.2641582804806094,0.287,0.28,0.275,0.14,0.135
imf,CAL,lin,77,0.6325,0.2534750545481614,0.428,0.416,0.412,0.196,0.187
imf,CAL,lin,72,0.555,0.14855732826935336,0.356,0.349,0.348,0.086,0.07
imf,CAL,lin,8,0.5425,0.06510184465943941,0.2,0.197,0.197,0.05,0.038
imf,CAL,lin,94,0.62,0.2663324742981598,0.364,0.354,0.353,0.168,0.16
imf,CAL,lin,96,0.5925,0.23780736219920087,0.31,0.299,0.297,0.135,0.129
nlm,CAL,mlp,32,0.2975,0.17031968238758435,0.179,0.173,0.172,0.156,0.155
nlm,CAL,mlp,33,0.3,0.17453515782454734,0.53,0.516,0.514,0.254,0.234
loan,CAL,mlp,6,0.7325,0.46993378298597877,0.266,0.262,0.26,0.148,0.142
loan,CAL,mlp,70,0.6,0.28266322081994677,0.225,0.221,0.219,0.163,0.155
imf,LLR,lin,78,0.75,0.49821802166839685,0.12,0.108,0.1,0.054,0.039
imf,LLR,lin,79,0.7,0.4025847863302792,0.05,0.02,0.017,0.029,0.012
imf,LLR,lin,7,0.745,0.49013753215031197,0.182,0.163,0.158,0.071,0.06
lin,CAPIFY,lin,29,0.6425,0.2344191299887145,0.179,0.147,0.138,0.098,0.092
lin,CAPIFY,lin,2,0.6325,0.2073242733396651,0.192,0.165,0.159,0.132,0.12
lin,CAPIFY,lin,30,0.6275,0.2660752437921089,0.206,0.175,0.173,0.074,0.06
nlm,ERM,mlp,30,0.74,0.46077882925373403,0.561,0.529,0.525,0.411,0.385
nlm,ERM,mlp,31,0.7475,0.39154116408229805,0.463,0.435,0.424,0.345,0.332
nlm,CAPIFY,mlp,21,0.4125,0.24857015193195708,0.524,0.505,0.5,0.408,0.402
imf,ERM,lin,38,0.7325,0.46867594653144173,0.051,0.025,0.022,0.038,0.015
imf,ERM,lin,39,0.75,0.5046141777555214,0.039,0.011,0.006,0.036,0.005
imf,ERM,lin,3,0.7075,0.4147125428038855,0.054,0.032,0.028,0.03,0.013
lin,ROSS,lin,4,0.71,0.39002626753942915,0.505,0.485,0.482,0.151,0.139
lin,ROSS,lin,50,0.6875,0.34849977976766094,0.495,0.476,0.469,0.124,0.11
lin,ROSS,lin,51,0.68,0.35846247358564876,0.494,0.472,0.465,0.13,0.119
imf,LLR,lin,31,0.7275,0.45544232747137003,0.171,0.157,0.154,0.063,0.045
imf,LLR,lin,32,0.5875,0.21164098190534184,0.35,0.341,0.337,0.09,0.074
imf,LLR,lin,33,0.695,0.39244096456296557,0.171,0.154,0.151,0.07,0.055
adult,AL,mlp,20,0.7959152334152334,0.5303839163074676,0.218,0.192,0.186,0.04,0.011
adult,AL,mlp,21,0.8034398034398035,0.5529069131206551,0.217,0.185,0.177,0.036,0.009
