data,type,decorrelation,output_type,metric,seed,margin,lambda,indicator,value
adult,contrastive,None,embedding,l05,0,0.10,1.00,acc,0.6875
adult,contrastive,None,embedding,l05,0,0.10,1.00,mcc,0.37899259099488297
adult,contrastive,None,embedding,l05,0,0.10,1.00,mpe,1.9173181056976318
adult,contrastive,None,embedding,l05,0,0.10,1.00,rmse,0.09091433137655258
adult,contrastive,None,embedding,l05,0,0.50,1.00,acc,0.8050000071525574
adult,contrastive,None,embedding,l05,0,0.50,1.00,mcc,0.6307087391030535
adult,contrastive,None,embedding,l05,0,0.50,1.00,mpe,0.6581540107727051
adult,contrastive,None,embedding,l05,0,0.50,1.00,rmse,0.3521532714366913
adult,contrastive,None,embedding,l05,0,1.00,1.00,acc,0.8765000104904175
adult,contrastive,None,embedding,l05,0,1.00,1.00,mcc,0.7597229576168574
adult,contrastive,None,embedding,l05,0,1.00,1.00,mpe,0.5486519932746887
adult,contrastive,None,embedding,l05,0,1.00,1.00,rmse,0.5294907093048096
adult,contrastive,None,embedding,l05,41,0.10,1.00,acc,0.6875
adult,contrastive,None,embedding,l05,41,0.10,1.00,mcc,0.37899259099488297
adult,contrastive,None,embedding,l05,41,0.10,1.00,mpe,1.9173181056976318
adult,contrastive,None,embedding,l05,41,0.10,1.00,rmse,0.09091433137655258
adult,contrastive,None,embedding,l05,41,0.50,1.00,acc,0.8050000071525574
adult,contrastive,None,embedding,l05,41,0.50,1.00,mcc,0.6307087391030535
adult,contrastive,None,embedding,l05,41,0.50,1.00,mpe,0.6581540107727051
adult,contrastive,None,embedding,l05,41,0.50,1.00,rmse,0.3521532714366913
adult,contrastive,None,embedding,l05,41,1.00,1.00,acc,0.8765000104904175
adult,contrastive,None,embedding,l05,41,1.00,1.00,mcc,0.7597229576168574
adult,contrastive,None,embedding,l05,41,1.00,1.00,mpe,0.5486519932746887
adult,contrastive,None,embedding,l05,41,1.00,1.00,rmse,0.5294907093048096
adult,contrastive,None,embedding,l05,42,0.10,1.00,acc,0.6875
adult,contrastive,None,embedding,l05,42,0.10,1.00,mcc,0.37899259099488297
adult,contrastive,None,embedding,l05,42,0.10,1.00,mpe,1.9173181056976318
adult,contrastive,None,embedding,l05,42,0.10,1.00,rmse,0.09091433137655258
adult,contrastive,None,embedding,l05,42,0.50,1.00,acc,0.8050000071525574
adult,contrastive,None,embedding,l05,42,0.50,1.00,mcc,0.6307087391030535
adult,contrastive,None,embedding,l05,42,0.50,1.00,mpe,0.6581540107727051
adult,contrastive,None,embedding,l05,42,0.50,1.00,rmse,0.3521532714366913
adult,contrastive,None,embedding,l05,42,1.00,1.00,acc,0.8765000104904175
adult,contrastive,None,embedding,l05,42,1.00,1.00,mcc,0.7597229576168574
adult,contrastive,None,embedding,l05,42,1.00,1.00,mpe,0.5486519932746887
