data,type,decorrelation,output_type,metric,seed,margin,lambda,indicator,value
adult,contrastive,xicor,embedding,l2,0,0.10,10.00,acc,0.7350000143051147
adult,contrastive,xicor,embedding,l2,0,0.10,10.00,mcc,0.5060165003752868
adult,contrastive,xicor,embedding,l2,0,0.10,10.00,mpe,0.8634117841720581
adult,contrastive,xicor,embedding,l2,0,0.10,10.00,rmse,0.09421703964471817
adult,contrastive,xicor,embedding,l2,0,0.20,10.00,acc,0.734499990940094
adult,contrastive,xicor,embedding,l2,0,0.20,10.00,mcc,0.5090936543547839
adult,contrastive,xicor,embedding,l2,0,0.20,10.00,mpe,0.6950478553771973
adult,contrastive,xicor,embedding,l2,0,0.20,10.00,rmse,0.18499451875686646
adult,contrastive,xicor,embedding,l2,0,0.50,10.00,acc,0.7404999732971191
adult,contrastive,xicor,embedding,l2,0,0.50,10.00,mcc,0.5200108483711128
adult,contrastive,xicor,embedding,l2,0,0.50,10.00,mpe,0.5732835531234741
adult,contrastive,xicor,embedding,l2,0,0.50,10.00,rmse,0.4540514051914215
adult,contrastive,xicor,label,l2,0,0.10,10.00,acc,0.49950000643730164
adult,contrastive,xicor,label,l2,0,0.10,10.00,mcc,0.0
adult,contrastive,xicor,label,l2,0,0.10,10.00,mpe,0.9673469066619873
adult,contrastive,xicor,label,l2,0,0.10,10.00,rmse,0.1580648571252823
adult,contrastive,xicor,label,l2,0,0.20,10.00,acc,0.49950000643730164
adult,contrastive,xicor,label,l2,0,0.20,10.00,mcc,0.0
adult,contrastive,xicor,label,l2,0,0.20,10.00,mpe,0.9333347082138062
adult,contrastive,xicor,label,l2,0,0.20,10.00,rmse,0.305143803358078
adult,contrastive,xicor,label,l2,0,0.50,10.00,acc,0.5139999985694885
adult,contrastive,xicor,label,l2,0,0.50,10.00,mcc,0.12117733365112267
adult,contrastive,xicor,label,l2,0,0.50,10.00,mpe,0.8458642363548279
adult,contrastive,xicor,label,l2,0,0.50,10.00,rmse,0.6910243034362793
adult,triplet,xicor,embedding,l2,0,0.10,10.00,acc,0.6430000066757202
adult,triplet,xicor,embedding,l2,0,0.10,10.00,mcc,0.23392061379718998
adult,triplet,xicor,embedding,l2,0,0.10,10.00,mpe,1.5623685121536255
adult,triplet,xicor,embedding,l2,0,0.10,10.00,rmse,0.18689988553524017
adult,triplet,xicor,embedding,l2,0,0.20,10.00,acc,0.6600000262260437
adult,triplet,xicor,embedding,l2,0,0.20,10.00,mcc,0.2665988584473971
adult,triplet,xicor,embedding,l2,0,0.20,10.00,mpe,1.2947299480438232
adult,triplet,xicor,embedding,l2,0,0.20,10.00,rmse,0.38883718848228455
adult,triplet,xicor,embedding,l2,0,0.50,10.00,acc,0.6520000100135803
adult,triplet,xicor,embedding,l2,0,0.50,10.00,mcc,0.24751559240971188
adult,triplet,xicor,embedding,l2,0,0.50,10.00,mpe,1.5470203161239624
adult,triplet,xicor,embedding,l2,0,0.50,10.00,rmse,1.0207633972167969
adult,triplet,xicor,label,l2,0,0.10,10.00,acc,0.6685000061988831
adult,triplet,xicor,label,l2,0,0.10,10.00,mcc,0.29719941808606687
adult,triplet,xicor,label,l2,0,0.10,10.00,mpe,1.9055335521697998
adult,triplet,xicor,label,l2,0,0.10,10.00,rmse,0.18392568826675415
adult,triplet,xicor,label,l2,0,0.20,10.00,acc,0.6735000014305115
adult,triplet,xicor,label,l2,0,0.20,10.00,mcc,0.3059195529081251
adult,triplet,xicor,label,l2,0,0.20,10.00,mpe,1.990896463394165
adult,triplet,xicor,label,l2,0,0.20,10.00,rmse,0.3761023283004761
adult,triplet,xicor,label,l2,0,0.50,10.00,acc,0.6654999852180481
adult,triplet,xicor,label,l2,0,0.50,10.00,mcc,0.2832839624329662
adult,triplet,xicor,label,l2,0,0.50,10.00,mpe,1.7640395164489746
adult,triplet,xicor,label,l2,0,0.50,10.00,rmse,0.9937009215354919
compas,contrastive,xicor,embedding,l2,0,0.10,10.00,acc,0.753000020980835
compas,contrastive,xicor,embedding,l2,0,0.10,10.00,mcc,0.5464674245948944
compas,contrastive,xicor,embedding,l2,0,0.10,10.00,mpe,0.7150943875312805
compas,contrastive,xicor,embedding,l2,0,0.10,10.00,rmse,0.08223007619380951
compas,contrastive,xicor,embedding,l2,0,0.20,10.00,acc,0.765999972820282
